date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:52	99774/99774	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2020%20Mar%202017%2020:25:54%20GMT	https://designreset.com/preview-equation/default-light/plugins/font-icons/weather-icons/font/weathericons-regular-webfont.eot	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/font-icons/weather-icons/font/weathericons-regular-webfont.eot	(from https://designreset.com/preview-equation/default-light/plugins/font-icons/weather-icons/weather-icons-wind.min.css)
16:43:52	44720/44720	---M--	200	added ('OK')	font/woff2	date:Mon,%2020%20Mar%202017%2020:25:54%20GMT	https://designreset.com/preview-equation/default-light/plugins/font-icons/weather-icons/font/weathericons-regular-webfont.woff2	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/font-icons/weather-icons/font/weathericons-regular-webfont.woff2	(from https://designreset.com/preview-equation/default-light/plugins/font-icons/weather-icons/weather-icons-wind.min.css)
16:43:53	99774/99774	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2020%20Mar%202017%2020:25:54%20GMT	https://designreset.com/preview-equation/default-light/plugins/font-icons/weather-icons/font/weathericons-regular-webfont.eot?	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/font-icons/weather-icons/font/weathericons-regular-webfontd41d.eot	(from https://designreset.com/preview-equation/default-light/plugins/font-icons/weather-icons/weather-icons-wind.min.css)
16:43:53	56468/56468	---M--	200	added ('OK')	font/woff	date:Mon,%2020%20Mar%202017%2020:25:54%20GMT	https://designreset.com/preview-equation/default-light/plugins/font-icons/weather-icons/font/weathericons-regular-webfont.woff	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/font-icons/weather-icons/font/weathericons-regular-webfont.woff	(from https://designreset.com/preview-equation/default-light/plugins/font-icons/weather-icons/weather-icons-wind.min.css)
16:43:53	99564/99564	---M--	200	added ('OK')	font/ttf	date:Mon,%2020%20Mar%202017%2020:25:54%20GMT	https://designreset.com/preview-equation/default-light/plugins/font-icons/weather-icons/font/weathericons-regular-webfont.ttf	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/font-icons/weather-icons/font/weathericons-regular-webfont.ttf	(from https://designreset.com/preview-equation/default-light/plugins/font-icons/weather-icons/weather-icons-wind.min.css)
16:43:54	184969/184969	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2020%20Mar%202017%2020:25:54%20GMT	https://designreset.com/preview-equation/default-light/plugins/font-icons/weather-icons/font/weathericons-regular-webfont.svg	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/font-icons/weather-icons/font/weathericons-regular-webfont.svg	(from https://designreset.com/preview-equation/default-light/plugins/font-icons/weather-icons/weather-icons-wind.min.css)
16:43:54	373/373	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2011%20May%202017%2001:48:40%20GMT	https://designreset.com/preview-equation/default-light/assets/css/ui-kit/timeline/img/cd-arrow.svg	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/ui-kit/timeline/img/cd-arrow.svg	(from https://designreset.com/preview-equation/default-light/assets/css/ui-kit/timeline/style.css)
16:43:54	190189/190189	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Mar%202018%2017:08:44%20GMT	https://designreset.com/preview-equation/default-light/plugins/range_sliders/ion.rangeslider/sprite-skin-sliderCustom.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/range_sliders/ion.rangeslider/sprite-skin-sliderCustom.png	(from https://designreset.com/preview-equation/default-light/plugins/range_sliders/ion.rangeslider/ion.rangeSlider.customSkin.css)
16:43:54	3218/3218	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Mar%202018%2022:20:38%20GMT	https://designreset.com/preview-equation/default-light/plugins/treeview/default/32px.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/treeview/default/32px.png	(from https://designreset.com/preview-equation/default-light/plugins/treeview/default/style.min.css)
16:43:55	1720/1720	---M--	200	added ('OK')	image/gif	date:Tue,%2002%20Jan%202018%2006:13:22%20GMT	https://designreset.com/preview-equation/default-light/plugins/treeview/default/throbber.gif	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/treeview/default/throbber.gif	(from https://designreset.com/preview-equation/default-light/plugins/treeview/default/style.min.css)
